,name,lat,lon,temp,humidity,cloudiness,windspeed,country,date
0,Punta Arenas,-53.15,-70.9167,285.21,50,40,9.77,CL,1676233616
1,Atengo,20.1667,-99.3333,296.74,30,10,3.34,MX,1676233615
2,Kieta,-6.2167,155.6333,299.37,83,100,2.4,PG,1676233616
3,Yatou,37.15,122.3833,274.14,61,100,10.34,CN,1676233617
4,Mataura,-46.1927,168.8643,287.18,87,49,0.47,NZ,1676233618
5,Kapaa,22.0752,-159.319,298.33,75,75,9.77,US,1676233618
6,Dwārka,22.2394,68.9678,295.6,49,0,5.5,IN,1676233619
7,Fougamou,-1.2154,10.5838,297.23,98,100,1.84,GA,1676233619
8,Cape Town,-33.9258,18.4232,294.75,83,20,6.71,ZA,1676233620
9,Arraial do Cabo,-22.9661,-42.0278,301.13,83,75,4.12,BR,1676233620
10,Bilibino,68.0546,166.4372,238.05,99,79,1.88,RU,1676233621
11,Vengerovo,55.6848,76.7471,250.85,100,100,1.77,RU,1676233622
12,Nikolskoye,59.7035,30.7861,275.09,95,100,5.4,RU,1676233623
13,Leh,34.1667,77.5833,251.48,70,12,2.15,IN,1676233624
14,Takoradze,4.8845,-1.7554,300.43,85,9,3.72,GH,1676233624
15,Albany,42.6001,-73.9662,281.06,40,99,1.32,US,1676233625
16,Thibodaux,29.7958,-90.8229,290.92,35,5,3.58,US,1676233625
17,Esperance,-33.8667,121.9,288.14,80,0,4.48,AU,1676233626
18,Alofi,-19.0595,-169.9187,300.09,89,75,2.57,NU,1676233627
19,Pandan,14.0453,124.1694,298.6,80,89,4.68,PH,1676233627
20,Saint George,37.1041,-113.5841,288.95,27,0,1.54,US,1676233468
21,Mar del Plata,-38.0023,-57.5575,297.16,88,75,4.63,AR,1676233628
22,Northam,51.0333,-4.2167,280.03,89,8,6.56,GB,1676233629
23,Vestmannaeyjar,63.4427,-20.2734,281.42,89,100,15.23,IS,1676233629
24,Redmond,47.674,-122.1215,283.84,74,50,1.34,US,1676233350
25,Avarua,-21.2078,-159.775,302.18,74,40,3.6,CK,1676233630
26,Busselton,-33.65,115.3333,287.41,80,0,4.61,AU,1676233631
27,Barrow,71.2906,-156.7887,245.16,76,0,5.66,US,1676233631
28,Jamestown,42.097,-79.2353,282.95,18,0,2.06,US,1676233632
29,Dikson,73.5069,80.5464,262.09,92,100,9.19,RU,1676233632
30,The Valley,18.217,-63.0578,300.27,69,75,6.69,AI,1676233633
31,Haines Junction,60.7522,-137.5108,268.12,80,100,0.0,CA,1676233633
32,Ushuaia,-54.8,-68.3,283.96,58,75,4.12,AR,1676233634
33,Kharan,28.5833,65.4167,286.47,22,12,1.84,PK,1676233635
34,Hastings,50.8552,0.5729,281.09,55,0,4.32,GB,1676233635
35,Ambilobe,-13.2,49.05,296.5,93,96,0.71,MG,1676233636
36,Saint-Philippe,-21.3585,55.7679,297.92,82,100,5.33,RE,1676233637
37,Rikitea,-23.1203,-134.9692,298.9,68,47,1.32,PF,1676233637
38,Grindavik,63.8424,-22.4338,282.12,100,100,14.92,IS,1676233638
39,Cabo San Lucas,22.8909,-109.9124,302.76,22,75,6.69,MX,1676233638
40,Dingle,10.9995,122.6711,295.67,94,58,3.31,PH,1676233639
41,Geraldton,-28.7667,114.6,290.38,88,0,0.0,AU,1676233607
42,Nouadhibou,20.931,-17.0347,291.14,88,100,6.17,MR,1676233640
43,Faya,18.3851,42.4509,287.44,41,0,1.58,SA,1676233640
44,Toamasina,-18.1667,49.3833,299.15,89,40,1.54,MG,1676233641
45,Butaritari,3.0707,172.7902,299.38,84,91,5.52,KI,1676233642
46,Hong Kong,22.2855,114.1577,295.34,94,51,4.47,HK,1676233473
47,Carnarvon,-24.8667,113.6333,298.53,66,0,9.67,AU,1676233643
48,Sabang,5.8933,95.3214,299.99,79,88,2.7,ID,1676233643
49,Bredasdorp,-34.5322,20.0403,296.98,61,81,2.77,ZA,1676233646
50,Sambava,-14.2667,50.1667,297.99,88,18,4.07,MG,1676233646
51,Armidale,-30.5167,151.65,285.55,98,20,2.21,AU,1676233647
52,Puerto Ayora,-0.7393,-90.3518,304.13,85,95,3.13,EC,1676233648
53,Moroni,-11.7022,43.2551,299.26,82,100,0.43,KM,1676233648
54,Santa Marta,11.2408,-74.199,308.18,43,20,6.17,CO,1676233525
55,George Town,5.4112,100.3354,300.11,97,20,2.06,MY,1676233449
56,Bluff,-46.6,168.3333,287.07,89,88,2.81,NZ,1676233650
57,Hithadhoo,-0.6,73.0833,300.17,67,2,4.92,MV,1676233651
58,Saskylakh,71.9167,114.0833,234.32,98,49,4.13,RU,1676233651
59,Saint Paul Harbor,57.79,-152.4072,266.88,63,100,8.75,US,1676233553
60,Tuatapere,-46.1333,167.6833,287.82,81,63,0.57,NZ,1676233652
61,Atuona,-9.8,-139.0333,299.2,75,2,7.85,PF,1676233652
62,Harbour Breton,47.4833,-55.7983,270.69,91,100,9.78,CA,1676233653
63,Hobart,-42.8794,147.3294,285.07,73,75,4.12,AU,1676233621
64,Castro,-24.7911,-50.0119,295.72,85,63,0.22,BR,1676233654
65,Cairns,-16.9167,145.7667,298.19,90,93,1.03,AU,1676233655
66,Los Llanos de Aridane,28.6585,-17.9182,288.01,75,20,3.09,ES,1676233655
67,Broome,42.2506,-75.833,282.96,33,0,0.45,US,1676233656
68,Mandalgovi,45.7625,106.2708,257.81,77,0,4.26,MN,1676233656
69,Hermanus,-34.4187,19.2345,294.78,74,68,2.73,ZA,1676233657
70,Bereda,43.2686,-7.5406,276.88,77,96,0.46,ES,1676233658
71,Souillac,-20.5167,57.5167,299.36,69,40,4.12,MU,1676233658
72,Longyearbyen,78.2186,15.6401,268.06,68,75,6.69,SJ,1676233659
73,Tevriz,57.509,72.4042,249.68,100,53,1.68,RU,1676233659
74,Naze,28.3667,129.4833,292.66,85,31,8.42,JP,1676233373
75,Yellowknife,62.456,-114.3525,255.68,78,20,2.06,CA,1676233425
76,Matara,5.9485,80.5353,297.64,84,74,2.2,LK,1676233660
77,Lima,-12.0432,-77.0282,298.29,69,0,6.17,PE,1676233382
78,Bethel,41.3712,-73.414,282.27,42,0,3.6,US,1676233383
79,Iqaluit,63.7506,-68.5145,243.0,67,75,5.14,CA,1676233661
80,Asău,46.4333,26.4,270.66,94,32,1.98,RO,1676233661
81,Thompson,55.7435,-97.8558,262.24,85,100,3.09,CA,1676233662
82,East London,-33.0153,27.9116,296.99,85,13,5.52,ZA,1676233662
83,Sitka,57.0531,-135.33,279.09,81,100,5.66,US,1676233556
84,Saldanha,-33.0117,17.9442,291.37,92,0,6.17,ZA,1676233663
85,Shubarshi,48.5872,57.1869,262.73,91,32,3.29,KZ,1676233663
86,Tricase,39.9304,18.3553,282.79,64,18,4.33,IT,1676233664
87,Altea,38.5989,-0.0514,283.92,72,56,2.56,ES,1676233664
88,Fairbanks,64.8378,-147.7164,255.98,82,100,1.54,US,1676233500
89,Kavaratti,10.5669,72.642,299.78,73,0,4.13,IN,1676233665
90,Kamaishi,39.2667,141.8833,276.01,82,100,2.01,JP,1676233665
91,Leningradskiy,69.3833,178.4167,246.29,94,100,4.98,RU,1676233666
92,Lebu,-37.6167,-73.65,291.8,69,56,4.46,CL,1676233666
93,Ancud,-41.8697,-73.8203,288.39,57,100,4.28,CL,1676233667
94,Barcelos,41.5388,-8.6151,286.23,65,99,2.71,PT,1676233667
95,Fortuna,40.5982,-124.1573,287.55,77,0,2.57,US,1676233668
96,Chokurdakh,70.6333,147.9167,238.31,96,100,0.89,RU,1676233669
97,Drezdenko,52.8383,15.8308,278.65,92,100,2.49,PL,1676233669
98,Hays,30.0502,-98.0336,291.08,31,100,1.79,US,1676233669
99,Nabire,-3.3667,135.4833,296.66,94,98,1.41,ID,1676233671
100,Port Alfred,-33.5906,26.891,296.03,95,93,1.34,ZA,1676233672
101,Klaksvík,62.2266,-6.589,281.66,84,100,11.98,FO,1676233672
